id,Заведение,ФИО,Дата,Время,Адрес,ФИО Директора,Телефон,Почта,Вид,"Статус(0 - не посещали, 1 - посещали)"
1,СОШ № 2,Бостанова Л.К.,2021-11-30,17:00,"369000, КЧР, г.Черкесск,  ул.Кавказская, 17",Аслануков Тимур Мухамедович,8(8782)26-17-79,moysosh2@mail.ru,Школьная,0
2,СОШ № 3,Гочияева М.Д.,2021-10-20,18:00,"369000,  КЧР, г.Черкесск,  ул.Балахонова, 73",Гурина Светлана Валентиновна,88782265641,MOUSchool3kchr@mail.ru,Школьная,0
3,СОШ № 4,БорлаковаМ.А.,2021-12-17,17:30,"369000, КЧР, г.Черкесскул.Ставропольская, 107",ДолаеваМадина Магометовна,8(8782)27-96-03,cdtn_999@mail.ru ,Школьная,1
4,Гимназия № 5,Кунижева Л.А.,2021-11-17,17:30,"369000,КЧР,  г.Черкесск,  ул.Ленина, 66",Чащев Сергей Вячеславович,8 (8782) 25-52-00,gimn5_2007@mail.ru,Школьная,0
5,СОШ № 6,Бостанова Л.К.,2021-12-10,18:00,"369000,КЧР,  г.Черкесск,  ул.Кавказская,58",Клименко Галина Васильевна,8(8782)28-10-74,school6_09@bk.ru,Школьная,1
6,СОШ № 7,Шавтикова Л.М.,2021-11-22,18:00,"369000, КЧР, г.Черкесск,  ул.Доватора, 17",Копсергенов Шамель Зедович,8 (8782)27-95-00,shkola_777@mail.ru,Школьная,0
7,СОШ № 8,Кунижева Л.А.,2021-11-22,17:30,"369000,КЧР,  г.Черкесск,  ул.Тургеневская, 75",Гогов Азамат Джамолович,8(8782)27-94-44,school_8_09@mail.ru,Школьная,0
8,Гимназия № 9,Бостанова Л.К.,2021-11-22,17:30,"369000,КЧР,  г.Черкесск,  ул.Тургеневская, 75",Гогов АзаматДжамолович,8(8782)27-94-44,school_8_09@mail.ru,Школьная,0
9,СОШ № 10,Селимсултанова Р.И.,2021-11-22,17:00,"369000,КЧР,  г.Черкесск, ул.Крупской, 26",Зоя Якубовна Дышекова,+7(878) 221-08-92.,zoya@mail.ru,Школьная,1
10,Центр образования № 11,Узденов А.А.,2021-11-12,17:00,"369000, КЧР, г.Черкесск, ул.Кочубея, 28",Ляшова Елена Владимировна,8(8782)27-94-86,mousosh1151@mail.ru,Школьная,0
